pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,856.44836
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,871.53766
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,883.6561
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,884.4629
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,878.26056
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,878.26056
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,890.19836
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,862.87775
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,855.73584
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,863.04315
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,876.54156
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,869.1079
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,872.3208
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,885.19354
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,856.03406
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,863.1354
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,867.81854
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,868.6253
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,862.423
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,862.13745
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,883.92786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,856.1685
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,871.1808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,877.44867
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,878.25543
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,879.055
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,879.5684
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,895.4475
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,862.2472
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,881.6612
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,885.7285
